id,@template,text
1,"templates/card.html","In what ways are you inhibited from expressing love?"
2,"templates/card.html","What difficult or painful experience would you recommend to everyone?"
3,"templates/card.html","What's the most intense emotional pain you've ever experienced?"
4,"templates/card.html","In what ways don't you trust yourself?"
5,"templates/card.html","How have you disappointed your parents?"
6,"templates/card.html","What about yourself have you been trying to fix for a long time?"
7,"templates/card.html","How would you raise a child differently from how your parents raised you?"
8,"templates/card.html","What was the last thing you cried about? When was it?"
9,"templates/card.html","What was the most difficult thing you've ever had to do?"
10,"templates/card.html","In what ways do you tend to fail at communication?"
11,"templates/card.html","What is currently your greatest insecurity?"
12,"templates/card.html","Which of your habits conflicts with your values?"
13,"templates/card.html","What aspect about the person to your left gives you the strongest negative feeling?"
14,"templates/card.html","What do you still owe someone an apology for?"
15,"templates/card.html","What's the most sick (mental or physical) you've ever been?"
16,"templates/card.html","Who do you hate most?"
17,"templates/card.html","What is your biggest obstacle toward peace?"
18,"templates/card.html","What about your appearance would you like to change?"
19,"templates/card.html","What have you done that you are most ashamed of?"
20,"templates/card.html","Are you afraid of death? Why or why not?"
21,"templates/card.html","How do you heal from painful experiences? How do you know when you're done healing?"
22,"templates/card.html","What was your biggest financial mistake?"
23,"templates/card.html","What's the most intense physical pain you've ever experienced?"
24,"templates/card.html","How often and in what ways does fear show up in you?"
25,"templates/card.html","Which have you planned in greater detail: killing yourself, or killing someone else?"
26,"templates/card.html","Who in this room would you most like to have sex with?"
27,"templates/card.html","If everyone in the room were arranged on a spectrum of attractiveness, which two people would you be between?"
28,"templates/card.html","What problems do you see in the relationships of those around you?"
29,"templates/card.html","You have to marry someone in this room right now. Who is it?"
30,"templates/card.html","Is there anything which arouses you that you've never admitted to anybody?"
31,"templates/card.html","What unusual trait do you find most attractive in a romantic partner?"
32,"templates/card.html","Out of all your past sexual experiences, what has made you the most uncomfortable?"
33,"templates/card.html","If you were invited to an all-nude party, where all the participants are required to be naked the whole time, would you go?"
34,"templates/card.html","When you introspect, away from society and your physical body, deep inside, do you feel a sense of gender?"
35,"templates/card.html","What were the conditions of your last break-up?"
36,"templates/card.html","If you had to choose one, would you rather double or halve your sex drive?"
37,"templates/card.html","Would you rather fuck your girlfriend who is inhabiting your mother's body, or your mother who is inhabiting your girlfriend's body? (If you date men, switch it to boyfriend and father.)"
38,"templates/card.html","In total, have you given or received more oral sex?"
39,"templates/card.html","What's one of the most adventurous things you've ever done in bed?"
40,"templates/card.html","Would you date yourself?"
41,"templates/card.html","What percentage of your preferred age/gender demographic would you be down to have sex with after roughly an hour of flirting?"
42,"templates/card.html","Have you ever been in an open or polyamorous relationship? If not, would you consider it?"
43,"templates/card.html","Could you have a serious relationship with someone who expressed that they thought they were unworthy of the relationship?"
44,"templates/card.html","Have you ever dated someone who you felt was below your standards?"
45,"templates/card.html","How easy is it for you to orgasm?"
46,"templates/card.html","Do you ever feel guilt or shame for romantically rejecting people who are interested in you?"
47,"templates/card.html","If you could press a button and double the sex drive of all women on earth, would you do it?"
48,"templates/card.html","If you tried, could you list the names of everyone you've had sex with?"
49,"templates/card.html","Are yelling fights in relationships more typical and inevitable, or terrible and avoidable?"
50,"templates/card.html","What was your most disappointing sexual experience?"
51,"templates/card.html","What emotion/feeling are you currently suppressing or ignoring?"
52,"templates/card.html","Who in the room do you admire the most?"
53,"templates/card.html","Did your parents do a good job?"
54,"templates/card.html","What are the signs that someone understands you uniquely?"
55,"templates/card.html","What is the best advice you've received, and why did you need it?"
56,"templates/card.html","What are you waiting to hear from someone close to you?"
57,"templates/card.html","What do you most admire about the person to your right?"
58,"templates/card.html","At the gut level, do you feel that the world is safe or not safe?"
59,"templates/card.html","Would you rather increase the amount that people respect you, or increase the amount they desire you?"
60,"templates/card.html","What relatively common experience have you never had?"
61,"templates/card.html","Do you ever enjoy the experience of emotional pain?"
62,"templates/card.html","Have you been loved enough?"
63,"templates/card.html","Have you ever had (what you consider to be) a spiritual experience? If so, what was it like and what effects did it have on you?"
64,"templates/card.html","Do you feel a greater sense of satisfaction when you gain approval from people who are very similar to you, or very different from you?"
65,"templates/card.html","If you could have one but not the other, would you rather love someone or be loved by someone?"
66,"templates/card.html","What kind of people do you get along best with?"
67,"templates/card.html","Which of your achievements are you most proud of?"
68,"templates/card.html","Given the guarantee that nobody will ask you the question: What is a question that you would refuse to answer?"
69,"templates/card.html","How boring are you?"
70,"templates/card.html","Do you have more thoughts or more feelings?"
71,"templates/card.html","What are your coping mechanisms for stress?"
72,"templates/card.html","Would you rather double the amount of emotional pain and pleasure you feel on a daily basis, or cut both in half?"
73,"templates/card.html","What is the most interesting fact about you that few people know?"
74,"templates/card.html","Which of your personality traits are you most proud of?"
75,"templates/card.html","Which group is larger: people who trust you, or people you trust?"
76,"templates/card.html","What is the most significant thing you've ever changed your mind about?"
77,"templates/card.html","If you could ask everybody in the world one question, what would it be? You don't get to hear their answers."
78,"templates/card.html","Are some human lives worth more than others?"
79,"templates/card.html","You must pick a number right now and live that many years total, in good physical health. You can't die before, and you can't extend after. How many years do you choose to live?"
80,"templates/card.html","Do you consider the state of ""unconditionally loving everyone"" to be desirable or undesirable for you, given it were possible?"
81,"templates/card.html","Are there any thoughts so offensive that you would advocate shaming those who think them, even if they don't act on those thoughts?"
82,"templates/card.html","Which of your beliefs would be the most difficult to change, even in the face of overwhelming evidence?"
83,"templates/card.html","Are there any cases in which you would support forced, involuntary brain modification to change someone else's mind, urges, or behavior?"
84,"templates/card.html","You can make a designer baby. Would you rather optimize it primarily for intelligence or happiness/optimism?"
85,"templates/card.html","What do you think enlightenment is?"
86,"templates/card.html","Do you believe the set of concepts like ""duty"", ""should"", ""obligation"", and ""deserving"" are ultimately more valid or meaningless?"
87,"templates/card.html","If you could press a button that would make you feel deeply and permanently that everything was ok, would you? Assume that you'd remain functional in the world."
88,"templates/card.html","Can someone both be a kind person and also hold the exact opposite of your political views?"
89,"templates/card.html","If you could, would you wirehead (i.e. hook yourself up to a hypothetical machine that makes you totally and eternally happy and satisfied)?"
90,"templates/card.html","If you (and only you) could see one measurement or statistic over everyone's heads, what would you want it to indicate?"
91,"templates/card.html","Would you prefer to date someone 20 IQ points higher or 5 points lower than you?"
92,"templates/card.html","If you could press a button that would instantly erase every single false belief you have, would you do it?"
93,"templates/card.html","If you could ask the universe one question and get the truth, what would you want to know?"
94,"templates/card.html","Is torture ever permissible?"
95,"templates/card.html","On planet A, everyone's 30% dumber, and you're a genius by comparison. On planet B, everyone's 30% smarter, and you're an idiot by comparison. You stay the same. Which planet would you prefer to live on?"
96,"templates/card.html","Which technology should not have been invented?"
97,"templates/card.html","If you could magically cause a neutral nude photo of every human to be published publicly on the internet every year on their birthday, would you?"
98,"templates/card.html","Of all the beliefs you hold, which is most likely to be considered barbaric in 150 years?"
99,"templates/card.html","You see a friend getting into their third emotionally abusive relationship in a row. Are they a victim?"
100,"templates/card.html","Do you feel that you have conscious control over your beliefs? Could you, right now, decide to believe something else if you tried? If so, which beliefs?"
101,"templates/card.html","What's the most controversial opinion you hold among your own social group?"
102,"templates/card.html","What viewpoint is the most difficult for you to empathize with?"
103,"templates/card.html","Does ""no"" always really mean ""no""?"
104,"templates/card.html","If you had to fuck a cow, would you rather it be dead or alive?"
105,"templates/card.html","Do you have any political or social opinions that you're afraid to express to your friends?"
106,"templates/card.html","In your personal experience, even if the difference is extremely slight, are men or women better at handling suffering?"
107,"templates/card.html","In a world where different ethnicities had strong genetic differences which caused different moral behavior, would racism be okay or still not okay?"
108,"templates/card.html","What groups or communities are you most judged for being a member of?"
109,"templates/card.html","In a world where prostitution becomes totally legal and regulated, should sex workers be allowed to refuse clients on the basis of race?"
110,"templates/card.html","Would you rather have accidentally killed someone, or be a nonoffending pedophile?"
111,"templates/card.html","Would you support the use of realistic child sex dolls by pedophiles?"
112,"templates/card.html","Would you rather be raped or falsely (but convincingly) accused of rape?"
113,"templates/card.html","Does modern western culture encourage women either to overreact or underreact to ""minor"" sexual assaults, such as groping, too-drunk sex, etc.?"
114,"templates/card.html","How do society's morals differ from your own?"
115,"templates/card.html","Regardless of your conscious beliefs or actions, do you feel in your gut that sex work is degrading?"
116,"templates/card.html","Which stereotype is actually pretty accurate?"
117,"templates/card.html","If you had to eliminate one million people from one ethnicity, which would it be?"
118,"templates/card.html","A 14-year-old has sex. How large does the age gap have to be between the 14-year-old and their partner before the child can no longer meaningfully consent to sex?"
119,"templates/card.html","If a sex worker consents to sex with a customer under expectation of payment, but then the customer refuses to pay, is this closer to rape or to theft?"
120,"templates/card.html","What's your opinion of education that teaches men to be more seductive?"
121,"templates/card.html","Do women have any systemic privilege due to their gender?"
122,"templates/card.html","Is incest wrong? Should it be illegal?"
123,"templates/card.html","Are there any viewpoints so offensive that they deserve to be shut down or suppressed? If so, which ones?"
124,"templates/card.html","Regardless of your support or personal feelings, does your subconscious view trans-identifying people as closer to their birth or current gender?"
125,"templates/card.html","Is bestiality wrong? Are you a vegan?"
